Research_paper,Question,Chunking Overlap,answer_relevancy,faithfulness,answer_correctness
1,1,90,,,
1,1,120,,,
1,1,150,,,
1,1,180,,,
1,1,210,,,
2,1,90,0.961656193750262,1.0,0.4002311858952507
2,1,120,0.9616648781369029,1.0,0.3243713676107547
2,1,150,0.9511653901172304,0.9583333333333334,0.3146466331799561
2,1,180,0.961656193750262,1.0,0.34627686370653377
2,1,210,0.9622808407253943,1.0,0.4429103835280866
2,2,90,0.9755155013765574,1.0,0.22204762043319112
2,2,120,0.975541439800986,0.96875,0.21910687146630398
2,2,150,0.975541439800986,1.0,0.21943796859254888
2,2,180,0.975541439800986,1.0,0.21983250736581567
2,2,210,0.975541439800986,1.0,0.21951512000730883
2,3,90,0.9594989717049627,1.0,0.5388889857864417
2,3,120,0.9877434029910256,0.9032258064516129,0.23308889729402554
2,3,150,0.8916976225915846,1.0,0.5105586099034825
2,3,180,0.943827972145307,1.0,0.3343360092585607
2,3,210,0.9378563185948998,0.9696969696969697,0.4827879617959671
