Research_paper,Question,Models,answer_relevancy,faithfulness,answer_correctness
1,1,gpt-4.1-nano,,,
1,1,gpt-4.1-mini,,,
1,1,gpt-4.1,,,
2,1,gpt-4.1-nano,0.9270910890364467,1.0,0.5026628942366103
2,1,gpt-4.1-mini,0.9604813593128804,0.9523809523809523,0.46050336599554687
2,1,gpt-4.1,0.9626710906692543,1.0,0.7182461759210275
2,2,gpt-4.1-nano,0.9873441663562633,1.0,0.218726579634837
2,2,gpt-4.1-mini,0.9755193676269309,1.0,0.22189697324979452
2,2,gpt-4.1,0.992662102431845,1.0,0.3844735691457103
2,3,gpt-4.1-nano,0.8935269734225981,1.0,0.23221443786959672
2,3,gpt-4.1-mini,0.9378563185948998,1.0,0.36836544015025063
2,3,gpt-4.1,0.8962558918608936,1.0,0.3795407869224855
