Research_paper,Question,Chunking Size,answer_relevancy,faithfulness,answer_correctness
1,1,900,,,
1,1,1200,,,
1,1,1500,,,
1,1,1800,,,
1,1,2100,,,
2,1,900,0.9650081490250717,1.0,0.7571834192397823
2,1,1200,0.96468304274961,1.0,0.8804839370975979
2,1,1500,0.9565419020236443,1.0,0.3654591484476317
2,1,1800,0.9298718630670064,1.0,0.5097987322582344
2,1,2100,0.9658922291669315,1.0,0.4357629588748247
2,2,900,0.9499519105366099,0.6842105263157895,0.6018236769366172
2,2,1200,0.9502106776848642,1.0,0.5239720538004703
2,2,1500,0.952668455496225,0.8421052631578947,0.7789394312732865
2,2,1800,0.9418497784031463,0.95,0.7288959206824894
2,2,2100,0.9471318255331297,0.8928571428571429,0.5571068787880188
2,3,900,0.9428681092225679,1.0,0.5236137053106318
2,3,1200,0.9176811547358494,0.9642857142857143,0.5006712450923773
2,3,1500,0.9847171610280893,0.9583333333333334,0.6257716152036245
2,3,1800,0.9454496307111399,1.0,0.6618252687116847
2,3,2100,0.9454496307111399,1.0,0.35465733923124476
