Research_paper,Question,Chunking Overlap,answer_relevancy,faithfulness,answer_correctness
1,1,90,,,
1,1,120,,,
1,1,150,,,
1,1,180,,,
1,1,210,,,
2,1,90,0.9604836868541994,1.0,0.3233479355479467
2,1,120,0.9511653901172304,1.0,0.32255535316256995
2,1,150,0.9622476988225145,1.0,0.6065970263685
2,1,180,0.961656193750262,1.0,0.4429391762708288
2,1,210,0.961656193750262,1.0,0.3572387960301999
2,2,90,0.975541439800986,1.0,0.22181700969588664
2,2,120,0.9755155013765574,1.0,0.22160669894707596
2,2,150,0.9755193676269309,1.0,0.21857410443790737
2,2,180,0.975541439800986,1.0,0.21990833638532695
2,2,210,0.9755193676269309,1.0,0.21946149770770784
2,3,90,0.8860929717029342,1.0,0.4822599501875065
2,3,120,0.9804617257709648,1.0,0.701636123362053
2,3,150,0.9386969666926737,1.0,0.5084080228773391
2,3,180,0.9450617546969619,1.0,0.48160137161073535
2,3,210,0.9520734499488374,1.0,0.4822044722815691
